method,modal,acc
gmc_nl,[0&1&2],0.9996484518051147
gmc_nl,[0&1],0.9883593916893005
gmc_nl,[0&2],0.9988281488418579
gmc_nl,[0],0.9968795895576477
gmc_nl,[1&2],0.9890475630760193
gmc_nl,[1],0.8915062189102173
gmc_nl,[2],0.9975390553474426
mmix_nl_01,[0&1&2],0.9909742832183838
mmix_nl_01,[0&1],0.9892693042755127
mmix_nl_01,[0&2],0.9832020044326782
mmix_nl_01,[0],0.9849218964576721
mmix_nl_01,[1&2],0.8821174263954162
mmix_nl_01,[1],0.8805216193199158
mmix_nl_01,[2],0.09858685582876206
mmix_nl_05,[0&1&2],0.9856927871704102
mmix_nl_05,[0&1],0.9844083547592163
mmix_nl_05,[0&2],0.9812879443168641
mmix_nl_05,[0],0.9827585101127625
mmix_nl_05,[1&2],0.8598437547683716
mmix_nl_05,[1],0.8622530102729797
mmix_nl_05,[2],0.09968979805707931
